Date,Open,High,Low,Close,Adj Close,Volume
2000-07-12,98.649620,101.218925,98.111855,100.023903,57.906162,5805823
2000-07-13,100.800667,101.278679,97.514343,99.426384,57.560238,5930506
2000-07-14,99.187378,100.262909,98.589867,99.366638,57.525658,4204920
2000-07-17,99.844643,103.130974,99.605644,100.860420,58.390442,6937804
2000-07-18,99.545891,100.203156,98.111855,98.769119,57.179749,6749524
2000-07-19,97.872849,104.684509,96.558319,103.967499,60.189209,8139344
2000-07-20,107.074570,112.631454,106.835564,112.093689,64.893677,24108626
2000-07-21,111.854683,111.854683,108.747612,109.703636,63.509998,9378854
2000-07-24,109.106117,110.540154,106.716064,107.552582,62.264679,7127862
2000-07-25,108.269600,108.389099,105.401527,107.074570,61.987999,5822977
2000-07-26,106.118546,107.433075,104.086998,105.043022,60.811852,6977238
2000-07-27,105.043022,106.596558,104.505257,105.461281,61.053978,4233580
2000-07-28,106.238052,107.552582,104.086998,106.895317,61.884190,5601958
2000-07-31,105.640533,108.687859,105.222275,107.313576,62.126324,5348721
2000-08-01,107.074570,107.492828,105.401527,105.640533,61.157757,3134339
2000-08-02,106.118546,109.823135,105.879539,109.225624,63.233242,6148283
2000-08-03,108.030594,111.376671,107.373329,110.898659,64.201828,5823500
2000-08-04,110.898659,111.376671,109.285370,110.779160,64.132629,4665683
2000-08-07,111.496178,113.766731,110.719406,111.197418,64.374786,6182592
2000-08-08,110.599907,114.364243,110.480400,113.647224,65.866623,6000588
2000-08-09,113.766731,115.499519,113.527725,113.527725,65.797409,6888328
2000-08-10,113.527725,114.961761,112.691208,114.483749,66.351494,5736369
2000-08-11,114.483749,116.455544,113.945984,115.320267,66.836273,6424950
2000-08-14,114.722755,118.248085,114.065491,117.829826,68.290756,5177072
2000-08-15,116.694550,117.232315,115.439774,116.634796,67.598167,4579493
2000-08-16,115.738525,117.531075,114.244743,116.993309,67.805931,6219516
2000-08-17,114.483749,117.411568,114.244743,117.112808,67.875191,4537966
2000-08-18,116.993309,117.949333,114.842255,115.141014,66.732414,4317365
2000-08-21,115.738525,116.814056,114.782501,116.097038,67.286499,3382973
2000-08-22,115.858032,116.814056,115.678780,116.037285,67.251869,2896792
2000-08-23,115.021507,118.307838,114.603249,117.829826,68.290756,4446755
2000-08-24,117.590820,119.921127,117.292068,119.323616,69.156517,6263762
2000-08-25,118.845604,124.163483,118.785851,123.326958,71.476715,8659834
2000-08-28,124.163483,127.330307,124.043976,125.717018,72.861969,8929284
2000-08-29,125.717018,128.346085,125.239006,127.031548,73.623817,6317840
2000-08-30,125.000000,125.717018,123.864723,124.581741,72.203964,5155525
2000-08-31,126.075523,128.286331,125.836517,126.209969,73.147644,5721097
2000-09-01,127.210800,129.003342,126.792542,127.748566,74.039398,6042010
2000-09-05,126.971794,127.449806,125.059753,125.418259,72.688805,4301257
2000-09-06,125.119499,128.943588,124.641495,125.657265,72.827332,6770758
2000-09-07,126.075523,128.585083,126.075523,127.509560,73.900864,4835449
2000-09-08,126.673042,127.091301,123.685471,123.804970,71.753769,5223410
2000-09-11,122.251434,122.609940,118.188339,119.024857,68.983398,7968114
2000-09-12,119.323616,121.295410,118.606598,119.502869,69.260429,5231778
2000-09-13,117.710327,123.147705,117.351814,122.072182,70.749489,5725386
2000-09-14,122.370934,123.506210,120.757645,121.295410,70.299324,4629073
2000-09-15,121.235657,121.653923,119.263863,119.502869,69.260429,5733858
2000-09-18,119.741875,120.458893,117.650574,117.829826,68.290756,4113709
2000-09-19,117.351814,120.697899,117.172562,119.443115,69.225792,3494686
2000-09-20,119.204109,120.996651,118.068832,119.263863,69.121887,4836076
2000-09-21,118.726097,121.116158,114.722755,116.156792,67.321129,4500101
2000-09-22,117.590820,118.845604,115.977531,118.427345,68.637062,6202885
2000-09-25,119.024857,121.056404,115.678780,117.590820,68.152206,4488386
2000-09-26,114.722755,116.515297,113.169212,113.886230,66.005150,6503191
2000-09-27,114.782501,115.021507,110.420647,112.810707,65.381836,6222549
2000-09-28,112.213196,113.647224,109.942642,110.181641,63.858082,5553319
2000-09-29,110.420647,111.794930,105.401527,107.672081,62.403614,10035952
2000-10-02,107.672081,114.364243,107.672081,112.631454,65.277939,9280321
2000-10-03,113.647224,114.125237,105.162521,105.700287,61.260830,12284433
2000-10-04,105.521034,109.823135,103.788239,109.345123,63.373268,12205669
2000-10-05,108.807358,109.524376,106.656311,108.209846,62.715298,5802162
2000-10-06,108.986618,111.018166,107.791588,110.898659,64.273666,6389386
2000-10-09,110.838913,114.125237,109.285370,112.750954,65.347176,5123308
2000-10-10,111.496178,111.974190,107.492828,109.823135,63.650330,5872453
2000-10-11,106.955070,107.970840,102.772469,107.074570,62.057354,9179487
2000-10-12,109.225624,109.345123,98.589867,98.589867,57.139835,10151325
2000-10-13,99.605644,105.580788,99.605644,104.266251,60.429691,9510860
2000-10-16,106.596558,108.150093,103.788239,106.238052,61.572529,8065078
2000-10-17,107.014816,108.867111,103.788239,108.030594,62.611427,9291095
2000-10-18,92.495216,94.765778,86.281075,91.240440,52.880341,31147579
2000-10-19,93.690247,94.168259,88.611374,92.196465,53.434387,18793377
2000-10-20,90.941681,92.017204,90.045410,90.583176,52.499393,9800183
2000-10-23,90.583176,90.822182,87.057838,88.790634,51.460503,9768176
2000-10-24,88.910133,90.224663,86.221321,87.416351,50.663990,9232205
2000-10-25,86.520073,86.938339,83.114243,83.711761,48.516918,14705191
2000-10-26,84.130020,88.790634,83.771507,88.671127,51.391228,10601942
2000-10-27,88.910133,89.567398,86.998085,89.567398,51.910667,6727244
2000-10-30,89.388145,89.627151,86.340820,89.208893,51.702881,8455864
2000-10-31,89.627151,94.765778,89.627151,94.168259,54.577209,11404120
2000-11-01,94.108505,95.482796,92.973228,94.228012,54.611832,7809645
2000-11-02,94.646271,97.813095,94.168259,97.454590,56.481850,7787575
2000-11-03,97.992355,98.111855,95.004784,95.721794,55.477581,6117531
2000-11-06,95.482796,97.872849,95.064529,95.901054,55.581470,4653131
2000-11-07,96.677818,98.948372,96.259560,97.813095,56.689629,5669948
